Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	LPC(16:3)	-0.8651513850672089	2.7880005922978454e-4
taurolithocholicacid-3-sulfate	LPC(O-24:0)	-0.769128853677903	0.0034534249395096325
taurolithocholicacid-3-sulfate	LPC(O-14:0)	-0.6652789349223571	0.01822761992423562
taurolithocholicacid-3-sulfate	LPC(O-16:0)	-0.7491764417378246	0.005039232447297543
taurolithocholicacid-3-sulfate	LPC(O-18:0)	0.9354792987922954	7.896999407057901e-6
taurolithocholicacid-3-sulfate	LPC(O-20:0)	0.87579795821736	1.882813928665571e-4
taurolithocholicacid-3-sulfate	LPC(O-20:2)	-0.7351385777036533	0.006447135439249461
taurolithocholicacid-3-sulfate	LPC(O-18:1)	-0.7849799951076212	0.002490690537282273
taurolithocholicacid-3-sulfate	LPC(O-18:2)	-0.5358852658643325	0.0725185905140801
taurolithocholicacid-3-sulfate	LPC(O-20:3)	-0.8040910104697698	0.0016187894198492231
taurolithocholicacid-3-sulfate	LPC(O-16:1)	-0.8169943314209829	0.0011784177896007407
taurolithocholicacid-3-sulfate	LPE(22:4)	0.703205311453881	0.010733005078710101
taurolithocholicacid-3-sulfate	LPE(15:0)	0.9346734619168405	8.391061535771348e-6
taurolithocholicacid-3-sulfate	LPE(0:0/20:3)	-0.766830136904003	0.0036136072800296683
taurolithocholicacid-3-sulfate	LPE(18:2/0:0)	0.6083655821827174	0.03581607867189939
taurolithocholicacid-3-sulfate	LPE(16:0/0:0)	-0.7313467608796466	0.006873594925850664
taurolithocholicacid-3-sulfate	LPE(0:0/22:5)	0.722366840103488	0.0079678070182835
taurolithocholicacid-3-sulfate	LPE(P-17:0)	-0.6794632454309201	0.015080029458309517
taurolithocholicacid-3-sulfate	LPE(P-18:0)	0.844436912273193	5.49197846282289e-4
taurolithocholicacid-3-sulfate	LPE(P-20:0)	-0.7810278165926962	0.0027086640387380127
taurolithocholicacid-3-sulfate	LPE(P-18:1)	0.7545176411839842	0.0045696989762260285
taurolithocholicacid-3-sulfate	MG(17:0)	-0.6123686069839684	0.03428914420769036
taurolithocholicacid-3-sulfate	MG(14:0)	0.8592787993487833	3.414866418626258e-4
taurolithocholicacid-3-sulfate	MGDG(18:1_20:5)	-0.695761925344846	0.011979487688088458
taurolithocholicacid-3-sulfate	PC(18:2_18:2)	0.655676608763453	0.020615257389655046
taurolithocholicacid-3-sulfate	PC(14:0_18:2)	-0.8161166117549301	0.0012050540838696101
taurolithocholicacid-3-sulfate	PC(22:4_16:0)	0.8700406200849006	2.3378900664695423e-4
taurolithocholicacid-3-sulfate	PC(16:0_20:3)	-0.7255926544727602	0.007560754780220868
taurolithocholicacid-3-sulfate	PC(18:1_18:2)	-0.8279981237767451	8.814118890174313e-4
taurolithocholicacid-3-sulfate	PC(14:1_18:2)	0.6285188096137486	0.028599459017533684
taurolithocholicacid-3-sulfate	PC(18:0_18:2)	0.6335764650845668	0.026967099299674384
taurolithocholicacid-3-sulfate	PC(16:0_20:4)	0.6227627128517365	0.030542597470246114
taurolithocholicacid-3-sulfate	PC(16:0_20:1)	0.8958555078960703	8.082011001677821e-5
taurolithocholicacid-3-sulfate	PC(14:0_18:1)	0.9165900420366703	2.760506793200151e-5
taurolithocholicacid-3-sulfate	PC(16:0_18:0)	0.8102111222808953	0.0013965271930255904
taurolithocholicacid-3-sulfate	PC(18:0_14:0)	-0.7269357348855038	0.007395953253542142
taurolithocholicacid-3-sulfate	PC(16:0_16:0)	-0.7502536329500751	0.004941732521877808
taurolithocholicacid-3-sulfate	PC(16:0_20:5)	-0.8748883311403232	1.949673128720785e-4
taurolithocholicacid-3-sulfate	PC(14:0_14:0)	-0.8604711819290962	3.279495150459479e-4
taurolithocholicacid-3-sulfate	PC(16:0_14:0)	0.7824231511920329	0.0026301114759173724
taurolithocholicacid-3-sulfate	PC(18:0_12:0)	-0.6392089019749352	0.025229693402491708
taurolithocholicacid-3-sulfate	PC(18:1_20:4)	0.867928678587968	2.5247603703971945e-4
taurolithocholicacid-3-sulfate	PC(22:5_14:1)	0.656901467565558	0.020298660965881885
taurolithocholicacid-3-sulfate	PC(12:0_18:1)	-0.7822950724549473	0.0026372485544174365
taurolithocholicacid-3-sulfate	PC(10:0_18:0)	-0.7655587319874596	0.003704590680653684
taurolithocholicacid-3-sulfate	PC(12:0_16:0)	-0.6881600899791643	0.013360112384198129
taurolithocholicacid-3-sulfate	PC(13:0_18:0)	-0.7533754053110395	0.0046672075526905405
